,Coordinates
435,"(31.673555199999992, -100.51805499999993)"
436,"(31.673555199999992, -100.27281679999993)"
437,"(31.673555199999992, -100.02757859999993)"
438,"(31.428316999999993, -99.78234039999992)"
439,"(31.428316999999993, -99.53710219999992)"
440,"(31.428316999999993, -99.29186399999992)"
441,"(31.428316999999993, -99.04662579999992)"
442,"(31.428316999999993, -98.80138759999991)"
443,"(31.428316999999993, -98.55614939999991)"
444,"(31.428316999999993, -98.31091119999991)"
445,"(31.428316999999993, -98.0656729999999)"
446,"(31.428316999999993, -97.8204347999999)"
447,"(31.428316999999993, -97.5751965999999)"
448,"(31.428316999999993, -97.3299583999999)"
449,"(31.428316999999993, -97.0847201999999)"
450,"(31.428316999999993, -96.83948199999989)"
451,"(31.428316999999993, -96.59424379999989)"
452,"(31.428316999999993, -96.34900559999988)"
453,"(31.428316999999993, -96.10376739999988)"
454,"(31.428316999999993, -95.85852919999988)"
455,"(31.428316999999993, -95.61329099999988)"
456,"(31.428316999999993, -95.36805279999987)"
457,"(31.428316999999993, -95.12281459999987)"
458,"(31.428316999999993, -94.87757639999987)"
459,"(31.428316999999993, -94.63233819999986)"
460,"(31.428316999999993, -94.38709999999986)"
461,"(31.428316999999993, -104.93234259999998)"
462,"(31.428316999999993, -104.68710439999998)"
463,"(31.428316999999993, -104.44186619999998)"
464,"(31.428316999999993, -104.19662799999998)"
465,"(31.428316999999993, -103.95138979999997)"
466,"(31.428316999999993, -103.70615159999997)"
467,"(31.428316999999993, -103.46091339999997)"
468,"(31.428316999999993, -103.21567519999996)"
469,"(31.428316999999993, -102.97043699999996)"
470,"(31.428316999999993, -102.72519879999996)"
471,"(31.428316999999993, -102.47996059999996)"
472,"(31.428316999999993, -102.23472239999995)"
473,"(31.428316999999993, -101.98948419999995)"
474,"(31.428316999999993, -101.74424599999995)"
475,"(31.428316999999993, -101.49900779999994)"
476,"(31.428316999999993, -101.25376959999994)"
477,"(31.428316999999993, -101.00853139999994)"
478,"(31.428316999999993, -100.76329319999994)"
479,"(31.428316999999993, -100.51805499999993)"
480,"(31.428316999999993, -100.27281679999993)"
481,"(31.428316999999993, -100.02757859999993)"
482,"(31.183078799999993, -99.78234039999992)"
483,"(31.183078799999993, -99.53710219999992)"
484,"(31.183078799999993, -99.29186399999992)"
485,"(31.183078799999993, -99.04662579999992)"
486,"(31.183078799999993, -98.80138759999991)"
487,"(31.183078799999993, -98.55614939999991)"
488,"(31.183078799999993, -98.31091119999991)"
489,"(31.183078799999993, -98.0656729999999)"
490,"(31.183078799999993, -97.8204347999999)"
491,"(31.183078799999993, -97.5751965999999)"
492,"(31.183078799999993, -97.3299583999999)"
493,"(31.183078799999993, -97.0847201999999)"
494,"(31.183078799999993, -96.83948199999989)"
495,"(31.183078799999993, -96.59424379999989)"
496,"(31.183078799999993, -96.34900559999988)"
497,"(31.183078799999993, -96.10376739999988)"
498,"(31.183078799999993, -95.85852919999988)"
499,"(31.183078799999993, -95.61329099999988)"
500,"(31.183078799999993, -95.36805279999987)"
501,"(31.183078799999993, -94.87757639999987)"
502,"(31.183078799999993, -94.63233819999986)"
503,"(31.183078799999993, -94.38709999999986)"
504,"(31.183078799999993, -104.93234259999998)"
505,"(31.183078799999993, -104.68710439999998)"
506,"(31.183078799999993, -104.44186619999998)"
507,"(31.183078799999993, -104.19662799999998)"
508,"(31.183078799999993, -103.95138979999997)"
509,"(31.183078799999993, -103.70615159999997)"
510,"(31.183078799999993, -103.46091339999997)"
